raw_value,mapped_value
vehicle_registration,reg
vehicle_make,make
vehicle_model,model
reg,reg
make,make
model,model
reg_no,reg
vrm,reg
date_from,date_from
date_to,date_to
registration_no,reg
from,date_from
to,date_to
vehicle_registration,reg
licence_start,date_from
licence_expiry,date_to
registration,reg
vregno,reg
vmake,make
vmodel,model
number,reg
idate,date_from
edate,date_to
uwstr2,make
uwstr4,reg
vehicle_registration_number,reg
model_3,model
licence_date_from,date_from
