page,text,identifier_range_y0,identifier_range_y1
1,Ref,60.41000000000008,69.64999999999998
1,168783,69.64999999999998,86.92039999999997
1,144672,86.92039999999997,98.56039999999996
1,151221,98.56039999999996,110.20039999999995
1,159161,110.20039999999995,121.84039999999993
1,158565,121.84039999999993,133.48039999999992
1,137326,133.48039999999992,145.1203999999999
1,142276,145.1203999999999,156.7604
1,158596,156.7604,168.4004
1,151581,168.4004,180.04039999999998
1,159132,180.04039999999998,191.68039999999996
1,151919,191.68039999999996,203.32039999999995
1,159244,203.32039999999995,214.96039999999994
1,159229,214.96039999999994,226.60039999999992
1,159121,226.60039999999992,238.2403999999999
1,171576,238.2403999999999,249.91039999999998
1,175232,249.91039999999998,261.55039999999997
1,173912,261.55039999999997,273.19039999999995
1,135112,273.19039999999995,284.8304
1,137513,284.8304,296.4704
1,139977,296.4704,308.1104
1,173309,308.1104,319.7504
1,168403,319.7504,331.3904
1,140014,331.3904,343.0304
1,142453,343.0304,354.67040000000003
1,158679,354.67040000000003,366.3104
1,176176,366.3104,377.9504
1,174755,377.9504,389.5904
1,158781,389.5904,401.23040000000003
1,158789,401.23040000000003,412.8704
1,142650,412.8704,424.5304
1,145170,424.5304,436.17040000000003
1,145174,436.17040000000003,447.8104
1,145192,447.8104,459.4504
1,158743,459.4504,471.0904
1,145281,471.0904,482.73040000000003
1,147880,482.73040000000003,494.3704
1,147917,494.3704,506.0104
1,158564,506.0104,517.6504
1,148422,517.6504,529.2904000000001
1,159304,529.2904000000001,540.9304
1,159197,540.9304,552.5704000000001
1,159240,552.5704000000001,564.2104
1,174094,564.2104,575.8504
1,158748,575.8504,587.4904
1,151846,587.4904,599.1304
1,151871,599.1304,610.8004000000001
1,158540,610.8004000000001,622.4404
1,158795,622.4404,634.0804
1,151939,634.0804,645.7204
1,151947,645.7204,657.3604
1,159432,657.3604,669.0004
1,159782,669.0004,680.6404
1,175702,680.6404,692.2804
1,159105,692.2804,703.9164
1,170487,703.9164,715.5563999999999
1,160295,715.5563999999999,727.1964
1,160341,727.1964,738.8364
1,160528,738.8364,750.4764
1,160711,750.4764,762.1164
2,Ref,762.1164,69.64999999999998
2,162029,69.64999999999998,86.92039999999997
2,162654,86.92039999999997,98.56039999999996
2,162713,98.56039999999996,110.20039999999995
2,172012,110.20039999999995,121.84039999999993
2,162765,121.84039999999993,133.48039999999992
2,162811,133.48039999999992,145.1203999999999
2,159230,145.1203999999999,156.7604
2,159252,156.7604,168.4004
2,159271,168.4004,180.04039999999998
2,159464,180.04039999999998,191.68039999999996
2,159193,191.68039999999996,203.32039999999995
2,159113,203.32039999999995,214.96039999999994
2,167521,214.96039999999994,226.60039999999992
2,167945,226.60039999999992,238.2403999999999
2,168175,238.2403999999999,249.91039999999998
2,168063,249.91039999999998,261.55039999999997
2,167990,261.55039999999997,273.19039999999995
2,169032,273.19039999999995,284.8304
2,169603,284.8304,296.4704
2,169953,296.4704,308.1104
2,171032,308.1104,319.7504
2,172034,319.7504,331.3904
2,172368,331.3904,343.0304
2,172380,343.0304,354.67040000000003
2,172463,354.67040000000003,366.3104
2,170947,366.3104,377.9504
2,172370,377.9504,389.5904
2,172376,389.5904,401.23040000000003
2,172559,401.23040000000003,412.8704
2,173803,412.8704,424.5304
2,175610,424.5304,436.17040000000003
2,169090,436.17040000000003,447.8104
2,171929,447.8104,459.4504
2,175962,459.4504,476.85040000000004
2,174066,476.85040000000004,494.2504
2,173788,494.2504,505.8904
2,158770,505.8904,517.5304
2,135224,517.5304,529.1704
2,137791,529.1704,540.8104000000001
2,169182,540.8104000000001,552.4504
2,170572,552.4504,564.0904
2,169318,564.0904,575.7304
2,171125,575.7304,587.3704
2,142769,587.3704,599.0104
2,166024,599.0104,610.6804
2,172270,610.6804,622.3204000000001
2,175258,622.3204000000001,633.9604
2,169475,633.9604,645.6004
2,142795,645.6004,657.2404
2,142801,657.2404,668.8804
2,173469,668.8804,680.5204
2,142825,680.5204,692.1604
2,164364,692.1604,703.7964
2,173102,703.7964,715.4364
2,175898,715.4364,732.8364
2,158646,732.8364,750.2364
2,165319,750.2364,761.8764
3,Ref,761.8764,69.64999999999998
3,145389,69.64999999999998,86.92039999999997
3,175346,86.92039999999997,98.56039999999996
3,158648,98.56039999999996,110.20039999999995
3,174183,110.20039999999995,121.84039999999993
3,145424,121.84039999999993,133.48039999999992
3,145461,133.48039999999992,145.1203999999999
3,167625,145.1203999999999,156.7604
3,158581,156.7604,168.4004
3,148591,168.4004,180.04039999999998
3,158570,180.04039999999998,191.68039999999996
3,148693,191.68039999999996,203.32039999999995
3,159217,203.32039999999995,214.96039999999994
3,159452,214.96039999999994,226.60039999999992
3,176307,226.60039999999992,238.2403999999999
3,159204,238.2403999999999,249.91039999999998
3,159435,249.91039999999998,261.55039999999997
3,163170,261.55039999999997,273.19039999999995
3,163277,273.19039999999995,284.8304
3,163512,284.8304,296.4704
3,167096,296.4704,308.1104
3,159112,308.1104,319.7504
3,165212,319.7504,331.3904
3,165767,331.3904,343.0304
3,166881,343.0304,354.67040000000003
3,168197,354.67040000000003,366.3104
3,168198,366.3104,377.9504
3,168347,377.9504,389.5904
3,168387,389.5904,401.23040000000003
3,168426,401.23040000000003,412.8704
3,168707,412.8704,424.5304
3,169170,424.5304,436.17040000000003
3,172220,436.17040000000003,447.8104
3,172425,447.8104,459.4504
3,172487,459.4504,471.0904
3,172623,471.0904,482.73040000000003
3,172597,482.73040000000003,494.3704
3,172409,494.3704,506.0104
3,172326,506.0104,517.6504
3,172796,517.6504,529.2904000000001
3,172882,529.2904000000001,540.9304
3,172788,540.9304,552.5704000000001
3,175952,552.5704000000001,564.2104
3,176221,564.2104,575.8504
3,176039,575.8504,587.4904
3,167983,587.4904,599.1304
3,120233,599.1304,610.8004000000001
3,169427,610.8004000000001,622.4404
3,148771,622.4404,634.0804
3,168877,634.0804,645.7204
3,135450,645.7204,657.3604
3,172251,657.3604,669.0004
3,163842,669.0004,680.6404
3,137998,680.6404,692.2804
3,175353,692.2804,703.9164
3,169409,703.9164,715.5563999999999
3,169656,715.5563999999999,727.1964
3,175289,727.1964,738.8364
3,140301,738.8364,750.4764
3,175574,750.4764,762.1164
4,Ref,762.1164,69.64999999999998
4,140414,69.64999999999998,86.92039999999997
4,142916,86.92039999999997,98.56039999999996
4,175724,98.56039999999996,110.20039999999995
4,145532,110.20039999999995,121.84039999999993
4,145544,121.84039999999993,133.48039999999992
4,145573,133.48039999999992,145.1203999999999
4,145603,145.1203999999999,156.7604
4,145601,156.7604,168.4004
4,174420,168.4004,180.04039999999998
4,148770,180.04039999999998,191.68039999999996
4,176324,191.68039999999996,209.08039999999994
4,158602,209.08039999999994,226.48039999999992
4,151983,226.48039999999992,238.1203999999999
4,158534,238.1203999999999,249.79039999999998
4,172352,249.79039999999998,261.43039999999996
4,159135,261.43039999999996,273.07039999999995
4,159188,273.07039999999995,284.7104
4,159192,284.7104,296.35040000000004
4,160068,296.35040000000004,307.9904
4,159182,307.9904,319.6304
4,159190,319.6304,331.2704
4,159273,331.2704,342.91040000000004
4,163691,342.91040000000004,354.5504
4,163661,354.5504,366.1904
4,163711,366.1904,377.8304
4,163727,377.8304,389.4704
4,163797,389.4704,401.1104
4,163814,401.1104,412.7504
4,163811,412.7504,424.41040000000004
4,159493,424.41040000000004,436.0504
4,163937,436.0504,447.6904
4,163934,447.6904,459.3304
4,163954,459.3304,470.9704
