,vrm,column_2,make,column_5,model,column_8,page
0,GF16 HJE,,Vauxhall,,Octavia S TDi,,1.0
1,DL15 XXT,,Vauxhall,,Astra,,1.0
2,CP17 YXJ,,FORD,,TRANSIT,,1.0
3,MM70 JBV,,Vauxhall,,Corsa,,1.0
4,GD66 OMC,,Skoda,,Octavia Estate,,1.0
5,YE66 UJC,,Renault,,"Trafic LL29 Sport Energy
DCI",,1.0
6,NK17 DMZ,,Vauxhall,,Vivaro Combi,,1.0
7,WF71 EXU,,Hyundai,,IONiQ PREMIUM HEV S-A,,1.0
8,SC21 WHH,,Toyota,,Corolla,,1.0
9,FP15 RDY,,Vauxhall,,Astra Tech Line CDTi S/S,,1.0
10,FJ17 XKX,,Vauxhall,,Insignia,,1.0
11,FN65 OYW,,Vauxhall,,"Astra Tech Line CDTI
S/S",,1.0
12,T10 TTX,,Mercedes,,E350E SE Premium Auto,,1.0
13,YC71EBJ,,Kia,,"Ceed 2 Nav CRDI ISG
MHEV",,1.0
14,EGZ 5639,,Volkswagen,,,,1.0
15,YC72 UZR,,MG,,5 Excite,,1.0
16,DP69 ELW,,Ford,,Tourneo Courier,,1.0
17,VN71 YHD,,Volkswagon,,Caddy,,1.0
18,SD15 VPC,,Mercedes-,,Vito 116 Bluetec Tourer,,1.0
19,SD15 VPC,,Benz,,Pro,,1.0
20,SB14 BTE,,Vauxhall,,Zafira Exclusiv,,1.0
21,DC21ACS,,Mercedes-,,Evito Tourer Pro,,1.0
22,DC21ACS,,Benz,,,,1.0
23,FN65 OYA,,Vauxhall,,Astra Tech Line CDTi S/S,,1.0
24,T44 GGT,,Skoda,,Superb,,1.0
25,GL17 HRE,,Skoda,,Superb,,1.0
26,YR62 HME,,Vauxhall,,Zafira Exclusiv,,1.0
27,DK69 CXZ,,Peugeot,,Boxer,,1.0
28,NK63 FDJ,,Seat,,Toledo,,1.0
29,NX09 XDS,,Vauxhall,,"Insignia Exclusiv 160
CDTI",,1.0
30,YG67 ZZD,,Peugeot,,508 GT line Blue HDI,,2.0
31,YG67 ZZD,,,,S/S,,2.0
32,SN19 BLG,,Toyota,,Corolla,,2.0
33,GC21ORX,,Skoda,,Octavia SE TDI,,2.0
34,FN65 OXZ,,Vauxhall,,"Astra Tech Line CDTI
S/S",,2.0
35,FG69 EOD,,Ford,,Tourneo Courier,,2.0
