vrm,vrm,column_2,make,make,column_5,model,model,column_8,page
,GF16 HJE,,,Vauxhall,,,Octavia S TDi,,1.0
DL15 XXT,,,Vauxhall,,,Astra,,,1.0
,CP17 YXJ,,,FORD,,,TRANSIT,,1.0
MM70 JBV,,,Vauxhall,,,Corsa,,,1.0
,GD66 OMC,,,Skoda,,,Octavia Estate,,1.0
YE66 UJC,,,Renault,,,"Trafic LL29 Sport Energy
DCI",,,1.0
,NK17 DMZ,,,Vauxhall,,,Vivaro Combi,,1.0
WF71 EXU,,,Hyundai,,,IONiQ PREMIUM HEV S-A,,,1.0
,SC21 WHH,,,Toyota,,,Corolla,,1.0
FP15 RDY,,,Vauxhall,,,Astra Tech Line CDTi S/S,,,1.0
,FJ17 XKX,,,Vauxhall,,,Insignia,,1.0
FN65 OYW,,,Vauxhall,,,"Astra Tech Line CDTI
S/S",,,1.0
,T10 TTX,,,Mercedes,,,E350E SE Premium Auto,,1.0
YC71EBJ,,,Kia,,,"Ceed 2 Nav CRDI ISG
MHEV",,,1.0
,EGZ 5639,,,Volkswagen,,,,,1.0
YC72 UZR,,,MG,,,5 Excite,,,1.0
,DP69 ELW,,,Ford,,,Tourneo Courier,,1.0
VN71 YHD,,,Volkswagon,,,Caddy,,,1.0
SD15 VPC,,,,Mercedes-,,,Vito 116 Bluetec Tourer,,1.0
,,,,Benz,,,Pro,,1.0
SB14 BTE,,,Vauxhall,,,Zafira Exclusiv,,,1.0
DC21ACS,,,,Mercedes-,,Evito Tourer Pro,,,1.0
,,,,Benz,,,,,1.0
FN65 OYA,,,Vauxhall,,,Astra Tech Line CDTi S/S,,,1.0
,T44 GGT,,,Skoda,,,Superb,,1.0
GL17 HRE,,,Skoda,,,Superb,,,1.0
,YR62 HME,,,Vauxhall,,,Zafira Exclusiv,,1.0
DK69 CXZ,,,Peugeot,,,Boxer,,,1.0
,NK63 FDJ,,,Seat,,,Toledo,,1.0
NX09 XDS,,,Vauxhall,,,"Insignia Exclusiv 160
CDTI",,,1.0
YG67 ZZD,,,Peugeot,,,,508 GT line Blue HDI,,2.0
,,,,,,,S/S,,2.0
SN19 BLG,,,Toyota,,,Corolla,,,2.0
,GC21ORX,,,Skoda,,,Octavia SE TDI,,2.0
FN65 OXZ,,,Vauxhall,,,"Astra Tech Line CDTI
S/S",,,2.0
,FG69 EOD,,,Ford,,,Tourneo Courier,,2.0
BV20 PEO,,,Skoda,,,Octavia,,,2.0
,FM23 DWP,,,Dacia,,,Jogger Essential,,2.0
SB18 PXW,,,Nissan Leaf,,,,,,2.0
YP18WXO,,,,Vauxhall,,X83,,,2.0
,,,,Vivaro,,,,,2.0
H22 LAH,,,Hyundai,,,"Tucson SE Connect T-
GDI HEV A",,,2.0
,MF71 VDT,,,Toyota,,,Corola Hybred,,2.0
SK22 VFW,,,MG5,,,Electric Estate Excite,,,2.0
,GK23 PZX,,,Skoda,,,Octavia 1.0 TSi SE,,2.0
JM11KAS,,,Skoda,,,Superb S TD,,,2.0
,NV68KMU,,,Vauxhall,,,Insignia,,2.0
L7 GWR,,,Hyundai,,,"Kona SE Connect T-GDI
MHEV",,,2.0
,HN67 MXJ,,,Skoda,,,Octavia,,2.0
SF66GDY,,,Peugeot,,,Boxer,,,2.0
,Y10 TTX,,,Mercedes Benz,,,Euro,,2.0
VE21 AZX,,,"Vauxhall
Insignia",,,,,,2.0
,LM65 EKX,,,Vauxhall,,,X83,,2.0
SL22 YJA,,,Nissan,,,Leaf N-Connect,,,2.0
,SK66 TNX,,,Vauxhall,,,Vivaro Combi CDTi S/S,,2.0
BD67 CCV,,,Skoda,,,Superb,,,2.0
,T999 GPH,,,Volkswagen,,,Caddy Maxi Life,,2.0
SA22 GZU,,,Vauxhall,,,Euro,,,2.0
