"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",make,vrm,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,page
110684,HACKNEY,11/04/2024,01/05/2025,2,LTI TX4,MK10 SWW,DIESEL,16/03/2010,5,YES,NO,,1
140147,HACKNEY,06/02/2024,12/02/2025,3,FORD,SF67 HUK,DIESEL,08/02/2017,8,YES,NO,,1
135689,HACKNEY,20/11/2023,23/11/2024,5,VAUXHALL VIVARO,SB54 CAB,DIESEL,24/11/2016,8,YES,NO,,1
133055,HACKNEY,13/02/2024,13/02/2025,6,VAUXHALL VIVARO,DT66 HUK,DIESEL,13/02/2017,8,YES,NO,,1
123081,HACKNEY,21/09/2023,20/09/2024,7,LTI TX4,LR65 LLJ,DIESEL,17/09/2015,5,YES,NO,,1
149405,HACKNEY,16/05/2023,02/06/2024,10,FORD TRANSIT,SF19 KAO,DIESEL,09/05/2019,8,YES,NO,,1
118274,HACKNEY,16/02/2024,15/02/2025,11,PEUGEOT E7,SF61 KHU,DIESEL,20/12/2011,7,YES,NO,,1
157504,HACKNEY,21/02/2024,03/03/2025,14,FORD VOYAGER,PA14 TYL,HYBRID,15/02/2021,8,YES,NO,,1
140766,HACKNEY,15/02/2024,18/02/2025,15,FORD,SF18 AUH,DIESEL,21/03/2018,7,YES,NO,,1
110924,HACKNEY,08/03/2024,10/03/2025,17,LTI TX4,MV11 UAE,DIESEL,02/03/2011,6,YES,NO,,1
149423,HACKNEY,15/06/2023,10/07/2024,21,VAUXHALL VIVARO,DP19 WHD,DIESEL,04/07/2019,8,YES,NO,,1
117333,HACKNEY,24/11/2023,24/11/2024,24,RENAULT,YJ64 BXV,DIESEL,01/10/2014,8,YES,NO,,1
123992,HACKNEY,31/10/2023,01/11/2024,25,PEUGEOT E7,SF61 KRG,DIESEL,24/01/2012,7,YES,NO,,1
112604,HACKNEY,12/05/2023,16/05/2024,28,PEUGEOT E7,CB12 BAX,DIESEL,03/05/2013,7,YES,NO,,1
117423,HACKNEY,05/12/2023,04/12/2024,32,PEUGEOT E7,SF59 AVR,DIESEL,17/09/2009,7,YES,NO,,1
116887,HACKNEY,16/04/2024,27/04/2025,37,LTI TX4,MK10 SVV,DIESEL,29/03/2010,6,YES,NO,,1
121128,HACKNEY,12/04/2024,09/05/2025,39,MERCEDES VITO,LC11 MUU,DIESEL,17/06/2011,7,YES,NO,,1
151266,HACKNEY,11/10/2023,06/11/2024,40,VAUXHALL VIVARO,TT12 STU,DIESEL,12/02/2018,8,YES,NO,,1
132214,HACKNEY,15/11/2023,14/12/2024,41,VAUXHALL VIVARO,MW66 YYE,DIESEL,01/12/2016,8,YES,NO,,1
141220,HACKNEY,20/03/2024,26/03/2025,42,PEUGEOT E7,ST53 BOT,DIESEL,01/03/2015,7,YES,NO,,1
110660,HACKNEY,14/06/2023,13/06/2024,45,LTI TX4,MK10 SWJ,DIESEL,02/03/2010,5,YES,NO,,1
141204,HACKNEY,27/09/2023,26/09/2024,47,FORD ALLIED PROCAB,SF18 BSO,DIESEL,23/03/2018,8,YES,NO,,1
153478,HACKNEY,09/01/2024,09/01/2025,50,RENAULT TRAFIC,YJ69 CGV,DIESEL,08/01/2020,8,YES,NO,,1
113216,HACKNEY,17/07/2023,16/07/2024,54,PEUGEOT E7,SE08 LDL,DIESEL,17/07/2008,7,YES,NO,,1
119695,HACKNEY,29/02/2024,15/03/2025,57,PEUGEOT E7,SF15 CVV,DIESEL,01/03/2013,7,YES,NO,,1
129748,HACKNEY,27/07/2023,26/07/2024,60,PEUGEOT E7,SF16 FMM,DIESEL,01/07/2016,7,YES,NO,,1
115433,HACKNEY,22/09/2023,21/09/2024,61,PEUGEOT E7,SF11 GMV,DIESEL,25/05/2011,7,YES,NO,,1
110564,HACKNEY,10/04/2024,09/04/2025,65,MERCEDES VITO,SH59 KWJ,DIESEL,17/11/2009,7,YES,NO,,1
"LICENCE
REF","LICENCE
TYPE",ISSUE DATE,"EXPIRY
DATE","PLATE
NO",VEHICLE TYPE,REG,FUEL TYPE,"DATE VEHICLE
REGISTERED","LICENSED
TO CARRY","WHEELCHAIR
ACCESSIBLE","TAILGATE
LIFT",EXECUTIVE,2
132010,HACKNEY,15/12/2023,15/12/2024,67,VAUXHALL VIVARO,DN66 HLA,DIESEL,29/11/2016,8,YES,NO,,2
124783,HACKNEY,22/09/2023,05/10/2024,71,RENAULT TRAFIC,YJ65 CHK,DIESEL,01/10/2015,8,YES,NO,,2
110496,HACKNEY,28/02/2024,07/03/2025,74,LTI TX4,T900 NYM,DIESEL,01/03/2010,6,YES,NO,,2
110778,HACKNEY,08/02/2024,22/02/2025,76,LTI TX4,SL60 ZXF,DIESEL,30/12/2010,6,YES,NO,,2
142877,HACKNEY,15/01/2024,04/02/2025,78,PEUGEOT E7,SF65 GOK,DIESEL,09/12/2015,7,YES,NO,,2
111553,HACKNEY,18/03/2024,23/03/2025,79,CITROEN DISPATCH,BX14 HEV,DIESEL,20/03/2014,8,YES,NO,,2
116031,HACKNEY,21/04/2023,20/04/2024,81,LTI TX2,LS56 YVH,DIESEL,04/01/2007,5,YES,NO,,2
110635,HACKNEY,23/02/2024,13/03/2025,85,PEUGEOT E7,SF10 AZA,DIESEL,04/03/2010,7,YES,NO,,2
136752,HACKNEY,22/08/2023,04/09/2024,91,VAUXHALL VIVARO,MA14 LCA,DIESEL,01/09/2017,8,YES,NO,,2
111918,HACKNEY,24/01/2024,23/01/2025,92,PEUGEOT E7,SF10 BJK,DIESEL,31/03/2010,7,YES,NO,,2
153891,HACKNEY,26/01/2024,02/02/2025,94,RENAULT TRAFIC,CS16 JPS,DIESEL,03/02/2020,8,YES,NO,,2
144136,HACKNEY,15/09/2023,14/09/2024,95,VAUXHALL VIVARO,DX68 WAE,DIESEL,04/09/2018,8,YES,NO,,2
113363,HACKNEY,22/09/2023,21/09/2024,96,LTI TX4,MJ10 LZR,DIESEL,28/05/2010,6,YES,NO,,2
140880,HACKNEY,21/02/2024,01/03/2025,98,PEUGEOT E7,SF15 CZK,DIESEL,02/03/2015,7,YES,NO,,2
116180,HACKNEY,13/11/2023,12/11/2024,99,LTI TX4,LS07 ZVB,DIESEL,13/07/2007,5,YES,NO,,2
154636,HACKNEY,14/03/2024,23/03/2025,101,PEUGEOT E7,SF66 EZD,DIESEL,22/09/2016,7,YES,NO,,2
112254,HACKNEY,22/06/2023,21/06/2024,102,RENAULT TRAFIC,PO12 CWX,DIESEL,18/04/2012,7,YES,NO,,2
111521,HACKNEY,22/01/2024,21/01/2025,110,PEUGEOT E7,SD58 CXY,DIESEL,09/10/2013,7,YES,NO,,2
135662,HACKNEY,11/05/2023,15/06/2024,111,VAUXHALL VIVARO,DL17 XCJ,DIESEL,16/06/2017,8,YES,NO,,2
118625,HACKNEY,15/04/2024,19/04/2025,114,PEUGEOT E7,SF10 HDG,DIESEL,21/04/2010,7,YES,NO,,2
149787,HACKNEY,09/08/2023,11/08/2024,116,RENAULT TRAFIC,K8 CAB,DIESEL,29/07/2019,8,YES,NO,,2
133891,HACKNEY,25/01/2024,20/02/2025,118,VAUXHALL VIVARO,DY17 WXM,DIESEL,22/03/2017,8,YES,NO,,2
135130,HACKNEY,15/05/2023,06/06/2024,121,FORD TOURNEO,MK17 VZJ,DIESEL,06/06/2017,8,YES,NO,,2
160329,HACKNEY,12/07/2022,10/08/2024,126,VAUXHALL VIVARO,DV16 PTZ,DIESEL,15/08/2016,8,YES,NO,,2
136060,HACKNEY,15/08/2023,18/08/2024,133,FORD TOURNEO,MD17 BYB,DIESEL,15/08/2017,8,YES,NO,,2
