vrm,model,make
GF16 HJE,Octavia S TDi,Vauxhall
DL15 XXT,Astra,Vauxhall
CP17 YXJ,TRANSIT,FORD
MM70 JBV,Corsa,Vauxhall
GD66 OMC,Octavia Estate,Skoda
YE66 UJC,"Trafic LL29 Sport Energy
DCI",Renault
NK17 DMZ,Vivaro Combi,Vauxhall
WF71 EXU,IONiQ PREMIUM HEV S-A,Hyundai
SC21 WHH,Corolla,Toyota
FP15 RDY,Astra Tech Line CDTi S/S,Vauxhall
FJ17 XKX,Insignia,Vauxhall
FN65 OYW,"Astra Tech Line CDTI
S/S",Vauxhall
T10 TTX,E350E SE Premium Auto,Mercedes
YC71EBJ,"Ceed 2 Nav CRDI ISG
MHEV",Kia
EGZ 5639,,Volkswagen
YC72 UZR,5 Excite,MG
DP69 ELW,Tourneo Courier,Ford
VN71 YHD,Caddy,Volkswagon
SD15 VPC,Vito 116 Bluetec Tourer,Mercedes-
,Pro,Benz
SB14 BTE,Zafira Exclusiv,Vauxhall
DC21ACS,Evito Tourer Pro,Mercedes-
,,Benz
FN65 OYA,Astra Tech Line CDTi S/S,Vauxhall
T44 GGT,Superb,Skoda
GL17 HRE,Superb,Skoda
YR62 HME,Zafira Exclusiv,Vauxhall
DK69 CXZ,Boxer,Peugeot
NK63 FDJ,Toledo,Seat
NX09 XDS,"Insignia Exclusiv 160
CDTI",Vauxhall
YG67 ZZD,508 GT line Blue HDI,Peugeot
,S/S,
SN19 BLG,Corolla,Toyota
GC21ORX,Octavia SE TDI,Skoda
FN65 OXZ,"Astra Tech Line CDTI
S/S",Vauxhall
FG69 EOD,Tourneo Courier,Ford
BV20 PEO,Octavia,Skoda
FM23 DWP,Jogger Essential,Dacia
SB18 PXW,,Nissan Leaf
YP18WXO,X83,Vauxhall
,,Vivaro
H22 LAH,"Tucson SE Connect T-
GDI HEV A",Hyundai
MF71 VDT,Corola Hybred,Toyota
SK22 VFW,Electric Estate Excite,MG5
GK23 PZX,Octavia 1.0 TSi SE,Skoda
JM11KAS,Superb S TD,Skoda
NV68KMU,Insignia,Vauxhall
L7 GWR,"Kona SE Connect T-GDI
MHEV",Hyundai
HN67 MXJ,Octavia,Skoda
SF66GDY,Boxer,Peugeot
Y10 TTX,Euro,Mercedes Benz
VE21 AZX,,"Vauxhall
Insignia"
LM65 EKX,X83,Vauxhall
SL22 YJA,Leaf N-Connect,Nissan
SK66 TNX,Vivaro Combi CDTi S/S,Vauxhall
BD67 CCV,Superb,Skoda
T999 GPH,Caddy Maxi Life,Volkswagen
SA22 GZU,Euro,Vauxhall
YY69XRO,Caddy Maxi Life,Volkswagon
DF17 YAX,Vivaro 1.6TDI BI Turbo,Vauxhall
SJ65 UVN,Zafira Exclusiv,Vauxhall
JC06 EMS,Focus Zetec TDCi,Ford
GJ20VZA,Octavia,Skoda
MW18 PKX,,"Citreon
Spacetourer"
GY22 CZV,Corolla ICON HEV CVT,Toyota
PE14 HRA,Vito 113 CDI Traveliner,Mercedes Benz
BG55TAX,B200 Sport Executive D,Mercedes Benz
,Auto,
GY71 LWG,Vivaro,Vauxhall
MD17 WGO,Octavia,Skoda
SM12 CAB,Ateca,Seat
AK69 XEO,Caddy Maxi Life,Volkswagen
YH72 ZKJ,Jogger Essential TCE,Dacia
YY71 JWC,Vivaro,Vauxhall
E9 LPH,Vito Tourer,Mercedes Benz
FE20 YVR,Combo Life Energy s/s,Vauxhall
SL71 JYF,,"MG MG 5
Excite EV"
YT18 XBX,Transit,Ford
YC72UTY,5 Excite,MG
SO71 CZA,HS Exclusive S-A,MG
YD14 ZKR,"T Porter T30 SW 140TDI
LW",Volkswagen
SN23THF,Vito 116CDI Tourer,Mercedes-
,Select Auto,Benz
EN67 JPF,Ioniq SE,Hyundai
EN67 KOJ,Ioniq SE,Hyundai
DY18 WOB,Mokka X Active CDTI S/S,Vauxhall
YS68 LJL,Vivaro,Vauxhall
SD21NCA,Octavia SE,Skoda
LK16 MXO,Vivaro,Vauxhall
GK67 NYY,Caddy Max C20 Life TDI,Volkswagen
YF66 CTE,E6 Traffic,Renault
AC52 CAR,E220 CDI Elegance Auto,Mercedes
DS68 TLU,Vivaro,Vauxhall
NV19 FJE,Octavia Hatchback,Skoda
SD19 UBP,Mondeo,Ford
SB70 KFJ,Octavia SE,Skoda
YX55 FKY,Master,Renault
